Rk,Team,Date▲,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
11,CHO,2024-10-23,110,@,HOU,W 110-105,240,38,85,.447,23,46,.500,15,39,.385,19,24,.792,110,38,103,.369,25,60,.417,13,43,.302,16,20,.800,105
12,CHI,2024-10-23,111,@,NOP,L 111-123,240,42,86,.488,32,52,.615,10,34,.294,17,25,.680,111,45,97,.464,31,60,.517,14,37,.378,19,21,.905,123
13,LAC,2024-10-23,113,,PHO,L 113-116 (OT),265,42,92,.457,34,63,.540,8,29,.276,21,30,.700,113,38,78,.487,23,40,.575,15,38,.395,25,34,.735,116
14,IND,2024-10-23,115,@,DET,W 115-109,240,42,83,.506,33,52,.635,9,31,.290,22,25,.880,115,38,88,.432,29,55,.527,9,33,.273,24,28,.857,109
15,ORL,2024-10-23,116,@,MIA,W 116-97,240,41,96,.427,23,47,.489,18,49,.367,16,22,.727,116,32,82,.390,21,48,.438,11,34,.324,22,29,.759,97
16,PHO,2024-10-23,116,@,LAC,W 116-113 (OT),265,38,78,.487,23,40,.575,15,38,.395,25,34,.735,116,42,92,.457,34,63,.540,8,29,.276,21,30,.700,113
17,BRK,2024-10-23,116,@,ATL,L 116-120,240,40,91,.440,23,48,.479,17,43,.395,19,25,.760,116,39,80,.488,30,52,.577,9,28,.321,33,46,.717,120
18,ATL,2024-10-23,120,,BRK,W 120-116,240,39,80,.488,30,52,.577,9,28,.321,33,46,.717,120,40,91,.440,23,48,.479,17,43,.395,19,25,.760,116
19,NOP,2024-10-23,123,,CHI,W 123-111,240,45,97,.464,31,60,.517,14,37,.378,19,21,.905,123,42,86,.488,32,52,.615,10,34,.294,17,25,.680,111
20,MIL,2024-10-23,124,@,PHI,W 124-109,240,43,80,.538,27,43,.628,16,37,.432,22,31,.710,124,41,98,.418,33,67,.493,8,31,.258,19,27,.704,109
21,UTA,2024-10-23,124,,MEM,L 124-126,240,40,85,.471,30,59,.508,10,26,.385,34,45,.756,124,43,91,.473,26,46,.565,17,45,.378,23,32,.719,126
22,MEM,2024-10-23,126,@,UTA,W 126-124,240,43,91,.473,26,46,.565,17,45,.378,23,32,.719,126,40,85,.471,30,59,.508,10,26,.385,34,45,.756,124
23,CLE,2024-10-23,136,@,TOR,W 136-106,240,51,87,.586,37,57,.649,14,30,.467,20,26,.769,136,36,86,.419,24,55,.436,12,31,.387,22,29,.759,106
24,GSW,2024-10-23,140,@,POR,W 140-104,240,48,93,.516,28,45,.622,20,48,.417,24,30,.800,140,36,92,.391,28,58,.483,8,34,.235,24,30,.800,104
25,DEN,2024-10-24,87,,OKC,L 87-102,240,35,98,.357,28,60,.467,7,38,.184,10,14,.714,87,43,101,.426,35,65,.538,8,36,.222,8,12,.667,102
26,WAS,2024-10-24,102,,BOS,L 102-122,240,41,95,.432,34,59,.576,7,36,.194,13,18,.722,102,42,90,.467,25,45,.556,17,45,.378,21,27,.778,122
27,OKC,2024-10-24,102,@,DEN,W 102-87,240,43,101,.426,35,65,.538,8,36,.222,8,12,.667,102,35,98,.357,28,60,.467,7,38,.184,10,14,.714,87
28,SAS,2024-10-24,109,@,DAL,L 109-120,240,39,86,.453,27,50,.540,12,36,.333,19,24,.792,109,42,102,.412,23,58,.397,19,44,.432,17,23,.739,120
29,SAC,2024-10-24,115,,MIN,L 115-117,240,38,82,.463,27,53,.509,11,29,.379,28,35,.800,115,41,86,.477,21,36,.583,20,50,.400,15,17,.882,117
