Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
58,OKC,2024-11-08,126,,HOU,W 126-107,240,46,90,0.511,32,53,0.604,14,37,0.378,20,23,0.87,126,39,90,0.433,28,60,0.467,11,30,0.367,18,26,0.692,107
59,CHI,2024-11-04,126,,UTA,L 126-135,240,45,95,0.474,31,58,0.534,14,37,0.378,22,25,0.88,126,48,89,0.539,32,53,0.604,16,36,0.444,23,30,0.767,135
60,ATL,2024-11-03,126,@,NOP,W 126-111,240,50,88,0.568,35,52,0.673,15,36,0.417,11,12,0.917,126,39,90,0.433,23,52,0.442,16,38,0.421,17,20,0.85,111
61,CHI,2024-10-28,126,@,MEM,W 126-123,240,45,100,0.45,20,47,0.426,25,53,0.472,11,17,0.647,126,51,111,0.459,37,68,0.544,14,43,0.326,7,13,0.538,123
62,MEM,2024-10-23,126,@,UTA,W 126-124,240,43,91,0.473,26,46,0.565,17,45,0.378,23,32,0.719,126,40,85,0.471,30,59,0.508,10,26,0.385,34,45,0.756,124
63,HOU,2024-11-15,125,,LAC,W 125-104,240,46,95,0.484,27,51,0.529,19,44,0.432,14,18,0.778,125,34,90,0.378,24,50,0.48,10,40,0.25,26,33,0.788,104
64,CHI,2024-11-09,125,@,ATL,W 125-113,240,46,92,0.5,33,53,0.623,13,39,0.333,20,23,0.87,125,41,89,0.461,32,60,0.533,9,29,0.31,22,30,0.733,113
65,GSW,2024-11-04,125,@,WAS,W 125-112,240,44,97,0.454,32,60,0.533,12,37,0.324,25,34,0.735,125,42,96,0.438,32,53,0.604,10,43,0.233,18,21,0.857,112
66,NOP,2024-11-01,125,,IND,W 125-118,240,49,101,0.485,37,70,0.529,12,31,0.387,15,19,0.789,125,46,89,0.517,30,51,0.588,16,38,0.421,10,13,0.769,118
67,TOR,2024-11-01,125,,LAL,L 125-131,240,52,107,0.486,42,72,0.583,10,35,0.286,11,13,0.846,125,42,88,0.477,31,56,0.554,11,32,0.344,36,41,0.878,131
68,PHO,2024-10-31,125,@,LAC,W 125-119,240,42,82,0.512,24,43,0.558,18,39,0.462,23,28,0.821,125,45,93,0.484,33,58,0.569,12,35,0.343,17,21,0.81,119
69,TOR,2024-10-28,125,,DEN,L 125-127 (OT),265,49,109,0.45,39,74,0.527,10,35,0.286,17,21,0.81,125,47,96,0.49,38,76,0.5,9,20,0.45,24,30,0.8,127
70,POR,2024-10-27,125,,NOP,W 125-103,240,43,93,0.462,29,58,0.5,14,35,0.4,25,32,0.781,125,38,88,0.432,30,59,0.508,8,29,0.276,19,24,0.792,103
71,ATL,2024-10-25,125,,CHO,W 125-120,240,39,81,0.481,25,43,0.581,14,38,0.368,33,38,0.868,125,37,96,0.385,16,45,0.356,21,51,0.412,25,31,0.806,120
72,DET,2024-11-17,124,@,WAS,W 124-104,240,46,97,0.474,29,59,0.492,17,38,0.447,15,19,0.789,124,39,83,0.47,27,56,0.482,12,27,0.444,14,20,0.7,104
73,MIA,2024-11-15,124,@,IND,W 124-111,240,45,87,0.517,30,45,0.667,15,42,0.357,19,23,0.826,124,44,86,0.512,30,51,0.588,14,35,0.4,9,11,0.818,111
74,NYK,2024-11-15,124,,BRK,W 124-122,240,44,83,0.53,31,45,0.689,13,38,0.342,23,28,0.821,124,39,89,0.438,20,43,0.465,19,46,0.413,25,28,0.893,122
